_elapsed,_wall,angular.x,angular.y,angular.z,linear.x,linear.y,linear.z
19.452530,1788156963.571279,0.0,0.0,0.0,0.0,0.0,0.0
19.554757,1788156963.673506,0.0,0.0,0.0,0.0,0.0,0.0
19.657027,1788156963.775776,0.0,0.0,0.0,0.0,0.0,0.0
19.760104,1788156963.878853,0.0,0.0,0.0,0.0,0.0,0.0
19.861372,1788156963.980121,0.0,0.0,0.0,0.0,0.0,0.0
19.963179,1788156964.081928,0.0,0.0,0.0,0.0,0.0,0.0
20.065435,1788156964.184184,0.0,0.0,0.0,0.0,0.0,0.0
20.167665,1788156964.286414,0.0,0.0,0.0,0.0,0.0,0.0
20.269756,1788156964.388505,0.0,0.0,0.0,0.0,0.0,0.0
20.374728,1788156964.493477,0.0,0.0,0.0,0.0,0.0,0.0
20.480004,1788156964.598753,0.0,0.0,0.0,0.0,0.0,0.0
20.580775,1788156964.699524,0.0,0.0,0.0,0.0,0.0,0.0
20.685539,1788156964.804288,0.0,0.0,0.0,0.0,0.0,0.0
20.795264,1788156964.914012,0.0,0.0,0.0,0.0,0.0,0.0
20.897384,1788156965.016133,0.0,0.0,0.0,0.0,0.0,0.0
21.000440,1788156965.119189,0.0,0.0,0.0,0.0,0.0,0.0
21.104476,1788156965.223225,0.0,0.0,0.0,0.0,0.0,0.0
21.209010,1788156965.327759,0.0,0.0,0.0,0.0,0.0,0.0
21.310106,1788156965.428855,0.0,0.0,0.0,0.0,0.0,0.0
21.414263,1788156965.533011,0.0,0.0,0.0,0.0,0.0,0.0
