_elapsed,_wall,contact_count,elapsed_s,state
25.554761,1788156969.673509,0,58.60306271299487,IDLE
25.657973,1788156969.776722,0,58.706546980989515,IDLE
25.760320,1788156969.879069,0,58.8086675539962,IDLE
25.862729,1788156969.981478,0,58.910943645998486,IDLE
25.965770,1788156970.084519,0,59.014102800996625,IDLE
26.068098,1788156970.186847,0,59.11638554200181,IDLE
26.171170,1788156970.289918,0,59.21937928699481,IDLE
26.273244,1788156970.391993,0,59.32140421199438,IDLE
26.375318,1788156970.494067,0,59.42349326598924,IDLE
26.478475,1788156970.597224,0,59.52641489999951,IDLE
26.581561,1788156970.700310,0,59.630132947000675,IDLE
26.686139,1788156970.804888,0,59.73366032599006,IDLE
26.788110,1788156970.906858,0,59.836719812999945,IDLE
26.890312,1788156971.009061,0,59.93867562599189,IDLE
26.995264,1788156971.114012,0,60.04379514500033,IDLE
27.098444,1788156971.217192,0,60.14637361100176,IDLE
27.201661,1788156971.320410,0,60.250212250990444,IDLE
27.306014,1788156971.424763,0,60.354596228993614,IDLE
27.409147,1788156971.527896,0,60.45665461599128,IDLE
27.510567,1788156971.629316,0,60.55920415499713,IDLE
27.612821,1788156971.731569,0,60.66116307899938,IDLE
27.715713,1788156971.834462,0,60.76427882499411,IDLE
27.819418,1788156971.938167,0,60.86800548399333,IDLE
27.924089,1788156972.042838,0,60.972665277993656,IDLE
28.027835,1788156972.146583,0,61.07642230700003,IDLE
28.132402,1788156972.251150,0,61.180927932990016,IDLE
28.241564,1788156972.360312,0,61.290180147989304,IDLE
28.343906,1788156972.462654,0,61.39222588700068,IDLE
28.445898,1788156972.564647,0,61.49421481099853,IDLE
28.551075,1788156972.669823,0,61.59962190699298,IDLE
28.654980,1788156972.773728,0,61.703198285991675,IDLE
28.757647,1788156972.876395,0,61.80621449499449,IDLE
28.859611,1788156972.978359,0,61.90820678899763,IDLE
28.961529,1788156973.080278,0,62.010178268988966,IDLE
29.063885,1788156973.182633,0,62.11217478499748,IDLE
29.167255,1788156973.286004,0,62.21583342499798,IDLE
29.270285,1788156973.389034,0,62.31886494799983,IDLE
29.373152,1788156973.491901,0,62.42178073099058,IDLE
29.475630,1788156973.594378,0,62.523844006995205,IDLE
29.578076,1788156973.696825,0,62.62663936200261,IDLE
29.684572,1788156973.803321,0,62.73301844600064,IDLE
29.787631,1788156973.906379,0,62.835882931991364,IDLE
29.890316,1788156974.009065,0,62.93830217399227,IDLE
29.992572,1788156974.111320,0,63.04115019598976,IDLE
30.096885,1788156974.215634,0,63.1454293949937,IDLE
30.200853,1788156974.319602,0,63.24899910799286,IDLE
30.309565,1788156974.428314,0,63.357923523988575,IDLE
30.413175,1788156974.531924,0,63.461745441993116,IDLE
30.516791,1788156974.635540,0,63.565386265996494,IDLE
30.619377,1788156974.738126,0,63.66746248699201,IDLE
30.721221,1788156974.839970,0,63.769573874989874,IDLE
30.827270,1788156974.946019,0,63.87505428599252,IDLE
30.928374,1788156975.047123,0,63.977027209999505,IDLE
31.031079,1788156975.149828,0,64.07917456098949,IDLE
31.133514,1788156975.252263,0,64.18117118800001,IDLE
31.236681,1788156975.355430,0,64.284522492002,IDLE
31.338090,1788156975.456839,0,64.3866991949908,IDLE
31.440176,1788156975.558924,0,64.48878210099065,IDLE
31.542336,1788156975.661085,0,64.5909282299981,IDLE
31.644290,1788156975.763039,0,64.6928981539968,IDLE
31.746841,1788156975.865590,0,64.79530959899421,IDLE
31.850981,1788156975.969730,0,64.89860342099564,IDLE
31.955013,1788156976.073762,0,65.0035641430004,IDLE
32.058464,1788156976.177212,0,65.1070540590008,IDLE
32.162079,1788156976.280827,0,65.21064769799705,IDLE
32.265492,1788156976.384241,0,65.3140808169992,IDLE
32.371525,1788156976.490274,0,65.41634481700021,IDLE
32.471637,1788156976.590386,0,65.51962189799815,IDLE
32.576060,1788156976.694808,0,65.62419837599737,IDLE
32.679047,1788156976.797796,0,65.72749443899374,IDLE
32.781168,1788156976.899917,0,65.82982632800122,IDLE
32.884717,1788156977.003466,0,65.93197490100283,IDLE
32.986583,1788156977.105332,0,66.03517261099478,IDLE
33.089020,1788156977.207768,0,66.13739870399877,IDLE
33.191138,1788156977.309886,0,66.2397778149898,IDLE
33.294664,1788156977.413413,0,66.34283557999879,IDLE
33.396727,1788156977.515476,0,66.44504085699737,IDLE
33.499840,1788156977.618588,0,66.54842303199985,IDLE
33.604072,1788156977.722821,0,66.65179591000197,IDLE
33.705896,1788156977.824645,0,66.75392514899431,IDLE
33.808473,1788156977.927222,0,66.85704993299441,IDLE
33.910993,1788156978.029742,0,66.95933691399114,IDLE
